Tiny Aya Global,GPT OSS 20B,UvA-MT,Qingqiu-MT-9B,Dubformer,DeepSeek V4 Pro,CUNI-EdUKate,Qwen 3.6 - 27b,Gemini 3.1 Pro,Ministral 3 - 14B,GoogleTranslate,Tower 9B,Mistral Medium 3.5,Command A+,Cohere CAT+,GPT OSS 120B,Qwen 3.5 - 9b,Gemma 4 - 4B,CUNI-MH-v3,TRIVE,SalamandraTA,GPT 5.5,Gemma 4 - 31B,GLM 4 - 9B
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
['Rechtsmittelverzicht'],['Rechtsmittelverzicht'],['Rechtsmittelverzicht'],['Rechtsmittelverzicht'],['Rechtsmittelverzicht'],['Rechtsmittelverzicht'],[],['Rechtsmittelverzicht'],[],['Rechtsmittelverzicht'],[],[],['Rechtsmittelverzicht'],['Rechtsmittelverzicht'],['Rechtsmittelverzicht'],['Rechtsmittelverzicht'],[],[],[],['Rechtsmittelverzicht'],['Rechtsmittelverzicht'],['Rechtsmittelverzicht'],['Rechtsmittelverzicht'],[]
[],[],[],[],[],[],[],[],[],['Fürsprecher'],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
['Anwalt'],[],[],[],[],[],['Anwalt'],[],[],[],['Anwalt'],[],[],[],[],[],[],[],['Anwalt'],[],[],[],[],['Anwalt']
[],['subjektiv Klagehäufung'],[],['subjektiv Klagehäufung'],[],[],[],[],[],[],[],[],[],[],[],[],['subjektiv Klagehäufung'],[],[],[],[],[],[],[]
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['Ausserkraftsetzung'],[],[],['Ausserkraftsetzung'],[],[],[]
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
[],[],[],['Parteibeitritt'],['Parteibeitritt'],[],[],['Parteibeitritt'],['Parteibeitritt'],[],[],[],['Parteibeitritt'],['Parteibeitritt'],['Parteibeitritt'],[],['Parteibeitritt'],['Parteibeitritt'],[],[],['Parteibeitritt'],['Parteibeitritt'],['Parteibeitritt'],[]
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['Rechtsbegehren'],[],[],[],[],['Rechtsbegehren'],[]
['Realrecht'],[],[],['Sachenrecht'],[],[],[],[],[],['Sachenrecht'],[],['Realrecht'],[],[],['Realrecht'],[],[],['Realrecht'],[],[],[],[],[],[]
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
