Tiny Aya Global,GPT OSS 20B,UvA-MT,Qingqiu-MT-9B,Dubformer,DeepSeek V4 Pro,CUNI-EdUKate,Qwen 3.6 - 27b,Gemini 3.1 Pro,Ministral 3 - 14B,GoogleTranslate,Tower 9B,Mistral Medium 3.5,Command A+,Cohere CAT+,GPT OSS 120B,Qwen 3.5 - 9b,Gemma 4 - 4B,CUNI-MH-v3,TRIVE,SalamandraTA,GPT 5.5,Gemma 4 - 31B,GLM 4 - 9B
[],['Regionales Verwaltungsgericht'],['Regionales Verwaltungsgericht'],['Regionales Verwaltungsgericht'],['Regionales Verwaltungsgericht'],['Regionales Verwaltungsgericht'],['Regionales Verwaltungsgericht'],['Regionales Verwaltungsgericht'],['Regionales Verwaltungsgericht'],['Regionales Verwaltungsgericht'],[],['Regionales Verwaltungsgericht'],['Regionales Verwaltungsgericht'],['Regionales Verwaltungsgericht'],['Regionales Verwaltungsgericht'],['Regionales Verwaltungsgericht'],['Regionales Verwaltungsgericht'],['Regionales Verwaltungsgericht'],['Regionales Verwaltungsgericht'],['Regionales Verwaltungsgericht'],[],['Regionales Verwaltungsgericht'],['Regionales Verwaltungsgericht'],['Regionales Verwaltungsgericht']
['Rechnungshof'],['Rechnungshof'],['Rechnungshof'],['Rechnungshof'],['Rechnungshof'],['Rechnungshof'],['Rechnungshof'],['Rechnungshof'],['Rechnungshof'],['Rechnungshof'],['Rechnungshof'],['Rechnungshof'],['Rechnungshof'],['Rechnungshof'],['Rechnungshof'],['Rechnungshof'],['Rechnungshof'],['Rechnungshof'],['Rechnungshof'],['Rechnungshof'],['Rechnungshof'],['Rechnungshof'],['Rechnungshof'],['Rechnungshof']
['carabinieri'],['Carabinieri'],['Carabinieri'],['Carabinieri'],['Carabinieri'],['Carabinieri'],['Carabinieri'],['Carabinieri'],['Carabinieri'],['Carabinieri'],['Carabinieri'],['Carabinieri'],['Carabinieri'],['Carabinieri'],['Carabinieri'],['Carabinieri'],['Carabinieri'],['Carabinieri'],['Carabinieri'],['Carabinieri'],['Carabinieri'],['Carabinieri'],['Carabinieri'],['carabinieri']
[],['Staatsverwaltung'],['Staatsverwaltung'],[],['Staatsverwaltung'],['Staatsverwaltung'],[],['Staatsverwaltung'],['Staatsverwaltung'],['Staatsverwaltung'],[],['Staatsverwaltung'],['Staatsverwaltung'],['Staatsverwaltung'],['Staatsverwaltung'],['Staatsverwaltung'],['Staatsverwaltung'],['Staatsverwaltung'],[],['Staatsverwaltung'],['Staatsverwaltung'],['Staatsverwaltung'],['Staatsverwaltung'],['Staatsverwaltung']
['Region'],['Region'],['Region'],['Region'],['Region'],['Region'],['Region'],['Region'],['Region'],['Region'],['Region'],['Region'],['Region'],['Region'],['Region'],['Region'],['Region'],['Region'],['Region'],['Region'],['Region'],['Region'],['Region'],['Region']
"['Provinz', 'Provinz']","['Provinz', 'Provinz']",['Land'],"['Land', 'Land']","['Land', 'Provinz', 'Provinz']","['Provinz', 'Provinz']","['Provinz', 'Provinz']",['Land'],['Land'],"['Provinz', 'Provinz']","['Provinz', 'Provinz']","['Provinz', 'Provinz']","['Provinz', 'Provinz']",['Land'],['Land'],"['Provinz', 'Provinz']","['Provinz', 'Land', 'Provinz']","['Provinz', 'Provinz']","['Provinz', 'Provinz']",['Land'],"['Provinz', 'Provinz']",['Land'],"['Provinz', 'Provinz']",['Provinz']
['Laborassistent'],['Laborassistent'],['Laborassistent'],[],['Laborassistent'],['Laborassistent'],['Laborassistent'],['Laborassistent'],['Laborassistent'],['Laborassistent'],['Laborassistent'],['Laborassistent'],['Laborassistent'],['Laborassistent'],['Laborassistent'],['Laborassistent'],['Laborassistent'],[],['Laborassistent'],['Laborassistent'],['Laborassistent'],['Laborassistent'],['Laborassistent'],[]
[],['Labortechniker'],['Labortechniker'],['Labortechniker'],['Labortechniker'],['Labortechniker'],['Labortechniker'],['Labortechniker'],['Labortechniker'],['Labortechniker'],[],['Labortechniker'],['Labortechniker'],[],['Labortechniker'],['Labortechniker'],[],['Labortechniker'],[],['Labortechniker'],[],['Labortechniker'],['Labortechniker'],[]
['Statistikassistent'],['Statistikassistent'],[],['Statistikassistent'],['Statistikassistent'],['Statistiksachbearbeiter'],[],['Statistikassistent'],['Statistikassistent'],[],[],[],['Statistikassistent'],['Statistikassistent'],['Statistikassistent'],['Statistikassistent'],['Statistikassistent'],['Statistikassistent'],[],['Statistikassistent'],['Statistikassistent'],['Statistikassistent'],['Statistikassistent'],['Statistikassistent']
[],['Kommunikationsplaner'],['Kommunikationsplaner'],[],[],['Kommunikationsplaner'],[],[],['Kommunikationsplaner'],['Kommunikationsplaner'],[],[],[],['Kommunikationsplaner'],[],['Kommunikationsplaner'],[],[],[],['Kommunikationsplaner'],[],['Kommunikationsplaner'],[],[]
