context	tgt_term_gold	tgt_term_homonym
Abfälle zur Verwertung sind Abfälle, die verwertet werden; Abfälle, die nicht verwertet werden, sind Abfälle zur Beseitigung.	Abfall	Verweigerung
Abgrenzungsprobleme in Bezug auf den Verwaltungsakt ergeben sich gegenüber schlicht-hoheitlichem Handeln ebenso wie gegenüber  vorbereitenden Verfahrenshandlungen, verwaltungsrechtlichen Verträgen und dem Handeln in der Form einer Rechtsverordnung oder Satzung.	vorbereitende Verfahrenshandlung	Vorbereitungshandlung
Abwertungen auf den niedriegeren Wert, der auf einer nur steuerrechtlich zulässigen Abschreibung beruht (§ 254 HGB), können wahlweise in der Form der passivischen Wertberichtigung vorgenommen werden.	Abwertung	Geldentwertung
Alkohol-, drogen- oder von Medikamenten abhängige Menschen sollen künftig nach einem qualifizierten Entzug im Krankenhaus direkt in eine Einrichtung der ambulanten oder stationären Suchtrehabilitation verlegt werden, wenn dies medizinisch notwendig ist.	Suchtrehabilitation	Rehabilitation
Alle mit Kontrollschildern zugelassenen Fahrzeuge unterliegen der amtlichen, periodischen Nachprüfung. Die Zulassungsbehörde kann dies Nachprüfungen Betrieben oder Organisationen übertragen, welche für die vorschriftsgemässe Durchführung Gewähr bieten.	periodische Nachprüfung	Wiederaufnahme
Alle vom Land im Rahmen seiner Gesetzgebungsbefugnisse zur Umsetzung von europäischen Richtlinien erlassenen Maßnahmen führen im Titel die Kennnummer der umgesetzten Richtlinie an und werden dem Departement für Europapolitik des Präsidiums des Ministerrates übermittelt.	Kennnummer	Benutzerkennung
Als Akte der Hoheitsverwaltung werden Verordnungen von den Behörden einseitig (heteronom) erlassen.	Verordnung	Geschäftsordnung
Als GEHEIM werden Informationen klassifiziert, deren Kenntnisnahme durch Unberechtigte den Landesinteressen einen schweren Schaden zufügen kann.	geheim	Geheimhaltung,Geheimnis
Als Lebenspartnerin oder Lebenspartner gilt die Person, die mit der Passinhaberin oder dem Passinhaber in einer eheähnlichen Gemeinschaft zusammenlebt.	Lebenspartner	im Haushalt lebende Person,im selben Haushalt lebende Person
Als Nachweis der technischen Leistungsfähigkeit können bei Bauaufträgen  Ausbildungsnachweise und Bescheinigungen über die berufliche Befähigung des Unternehmers und der Führungskräfte des Unternehmers, insbesondere der für die Ausführung der Arbeiten verantwortlichen Personen verlangt werden.	Führungskraft	Leiter,leitender Beamter
Als Sitte wird der gesellschaftliche – mehr oder weniger gefestigte – Brauch verstanden, der nicht (mehr) erzwingbar ist; er beinhaltet das Abstellen auf ein äußeres, erwünschtes Verhalten.	Brauch	Benutzungsrecht,Benützungsrecht,Gebrauch,Gebrauchsrecht,Gewohnheitsrecht,Servitut des Gebrauches
Als Täter einer Aussetzung kommt jedermann in Betracht. Beim Verlassen hingegen ist erforderlich, daß die hilflose Person unter der Obhut des Täters stegt oder dieser für die Unterbringung, Fortschaffung oder Aufnahme des Verlassenen zu sorgen hat.	Obhut	Aufbewahrung,Verwahrung
Als VERTRAULICH werden Informationen klassifiziert, deren Kenntnisnahme durch Unberechtigte den Landesinteressen Schaden zufügen kann.	vertraulich	Dauerrezept
Als Verarbeitung gilt auch das Schreiben, Zeichnen, Malen, Drucken, Gravieren oder eine ähnliche Bearbeitung der Oberfläche.	Verarbeitung	Konkretisierung,Konzentration
Als Zeitpunkt der Auslieferung ist, wenn die Verfügung es nicht anders bestimmt, der Tod des Vorerben zu betrachten.	Zeitpunkt	Dauer,Zeit,Zeitraum
Als gefährlich gelten insbesondere kanzerogene, mutagene, teratogene, giftige und ätzende Stoffe sowie Stoffe, die zu Bränden und Explosionen Anlass geben können.	mutagen	erbgutverändernder Stoff
Als wichtige Gründe gelten Bestimmungen über die Zusammensetzung des Aktionärskreises, die im Hinblick auf den Gesellschaftszweck oder die wirtschaftliche Selbständigkeit des Unternehmens die Verweigerung rechtfertigen.	Verweigerung	Abfall
Am 12. Juni 1999 führte die Kantonspolizei Nidwalden beim Motorfahrradfahrer X. zwei Atemlufttests  durch, die einen Blutalkoholgehalt von 1,36 bzw. 1,54 Gewichtspromillen ergaben.	Blutalkoholgehalt	AAK,Atemalkoholkonzentration
Am Zugang zum Gemeinschaftseigentum oder an dem am stärksten gemeinschaftlich genutzten Ort, der auch Dritten zugänglich ist, werden die Personalien und das Domizil des Verwalters sowie seine Zustelladressen samt Telefonnummern ausgehängt.	Gemeinschaftseigentum	Kondominium,Miteigentumsgebäude,Miteigentümergemeinschaft
An Kreuzungen und Einmündungen hat die Vorfahrt, wer von rechts kommt.	Vorfahrt	Vorrang,Vorzug
An der genannten Gesellschaft können sich öffentliche Körperschaften und Anstalten, private Körperschaften, Anstalten und Vereinigungen sowie Privatpersonen beteiligen, die aufgrund einer Konzession oder einer behördlichen Erlaubnis einen gemeinnützigen Zweck oder zumindest keine Gewinnabsicht verfolgen.	behördliche Erlaubnis	Ermächtigung,Genehmigung
Andernfalls ist unverzüglich ihre Vernichtung und eine entsprechende Herabsetzung des Kapitals vorzunehmen.	Vernichtung	Annullierung,Aufhebung,Nichtigerklärung
Anders als beim Rechtsirrtum spielt es keine Rolle, ob der Tatbildirrtum verschuldet ist.	Tatbildirrtum	Tatsachenirrtum
Angebote von geringer publizistischer Tragweite sind zudem Angebote, welche:  weder Sponsoring noch Werbung enthalten mit Ausnahme von Werbung für eigene Produkte und Dienstleistungen.	Werbung	Publizität
Anhand des Promemoria kann der Apotheker oder die Apothekerin sowie der Arzt oder die Ärztin die Nummer des elektronischen Rezepts und die Steuernummer des Patienten oder der Patientin feststellen.	Promemoria	Merkblatt
Anschaffungs- oder Herstellungskosten, die für denkmalgeschützte Betriebsgebäude im Interesse der Denkmalpflege aufgewendet werden, können  gleichmäßig auf zehn Jahre verteilt abgeschrieben werden.	Denkmalpflege	Konservierung
Ansprüche des Leasingnehmers gegen den Leasinggeber wegen Mangelhaftigkeit der Sache werden idR ausgeschlossen .	Leasingnehmer	Bestandnehmer,Mieter
Anwärter/Anwärterinnen auf den Dienstrang eines Seilbahnwartes/einer Seilbahnwartin müssen für jede Anlagenkategorie die für den Führerschein der Klasse B notwendigen Anforderungen an die körperliche und geistige Tauglichkeit erfüllen .	Tauglichkeit	tauglich
Arbeiten dürfen von Leiterstufen oder einer Plattform dauerhaft nur bis zu einer Standhöhe von 2 m ausgeführt werden.	Leiterstufe	Stufe,Treppenstufe
Arbeitgeber können für die berufliche Weiterbildung von Arbeitnehmern, bei denen die Notwendigkeit der Weiterbildung wegen eines fehlenden Berufsabschlusses anerkannt ist, durch Zuschüsse zum Arbeitsentgelt gefördert werden, soweit die Weiterbildung im Rahmen eines bestehenden Arbeitsverhältnisses durchgeführt wird.	berufliche Weiterbildung	Aktualisierung
Arbeitnehmer unterliegen  der Gesundheitsüberwachung, wenn sie gesundheitsgefährdenden chemischen Arbeitsstoffen ausgesetzt sind, die als hochgiftig, giftig, gesundheitsschädlich, sensibilisierend, irritierend, für den Produktionszyklus giftig, krebserregend und erbgutverändernd  klassifiziert sind.	erbgutverändernd	Mutagen,erbgutverändernder Stoff
ArbeitnehmerInnen sind vor Gefahren durch natürliche optische Strahlung, insbesondere solarer Strahlung, wie IR-Strahlung, sichtbares Licht und UV-Strahlung, zu schützen .	sichtbares Licht	GVP,Gesundheitsverträglichkeitsprüfung
Arbeitsbedingte Erkrankungen sind Gesundheitsstörungen, die ganz oder teilweise durch die Arbeitsumstände verursacht werden.	Arbeitsumstände	Arbeitsbedingungen
Arbeitsmittel und Arbeitsvorgänge, die an Arbeitsplätzen Lärm oder Vibrationen über den Auslösewerten verursachen, sind unter Berücksichtigung der Arbeitsabläufe nach Möglichkeit in eigenen Räumen unterzubringen bzw. durchzuführen.	Auslösewert	Interventionsschwelle
Arbeitsmittel, die beim Verwenden eine Gefährdung der Arbeitnehmer durch bewegte Teile darstellen, sind mit entsprechenden Schutzeinrichtungen auszurüsten, die verhindern, dass in den Gefahrenbereich bewegter Teile getreten oder gegriffen werden kann.	Gefährdung	Gefahr,Risiko
Arbeitsstoffe, wie Gase, Dämpfe, Stäube und Aerosole, gelangen entweder bei der Einatmung oder bei Flüssigkeiten und Stäuben durch Verschlucken oder durch die Hautresorption in den Körper.	Arbeitsstoff	Handelsvertreter,Täter
Art. 20 des Landesgesetzes Nr. 17/93 betrifft Fachgutachten, die während der Ermittlungsphase des Verfahrens aufgrund einer Rechtsvorschrift des Landes, der Region, des Staates oder der Gemeinschaft von dazu vorgesehenen Organen oder Einrichtungen eingeholt werden müssen.	Ermittlungsphase	Entscheidungsvorbereitung,Ermittlungstätigkeit,Ermittlungsverfahren
Arten der dienstlichen Ausbildung sind 1. die Grundausbildung, 2. das Management-Training sowie 3. die sonstige dienstliche Weiterbildung und Mitarbeiterqualifizierung.	dienstliche Weiterbildung	Aktualisierung
Auch Konzessionsverträge  können die Erfüllung öffentlicher Aufgaben durch Private zum Gegenstand haben, indem sie die Konzessionäre verpflichten, gewisse öffentliche Interessen wahrzunehmen (z.B. Transport-, Fahrplan-, Tarifplficht der Konzessionäre für die regelmässige Personenbeförderung).	Konzessionsvertrag	Bewilligung,Konzession
Auch bei den Dienstbarkeiten ist das obligatorische Verpflichtungsgeschäft, das auch über eine etwaige Gegenleistung bestimmt, von dem dinglichen Geschäft, der Bestellung der Dienstbarkeit, zu unterscheiden.	Dienstbarkeit	Grunddienstbarkeit
Auch bloße Motive können zur Bedingung gemacht werden (§ 901).	Motiv	Beweggrund
Auch die Nötigung zu einem rechtswidrigen Tun oder Unterlassen fällt unter Art. 181.	Tun	Aktie,Handeln,Handlung,Klage,Tat,Verhalten
Auch ein einziger Fall kann einen Ausbruch darstellen. Nämlich dann, wenn die Krankheit lange nicht oder noch nie aufgetreten ist.	Ausbruch	Ausbruchsgebiet
Auf Basis der Vollstreckungsverfügung erfolgt  der eigentliche Exekutionsakt.	Exekutionsakt	Ausführungshandlung,Vollstreckungshandlung
Auf Deponien sind folgende Abfälle nicht zulässig: a) flüssige Abfälle, b) Abfälle, die explosiv, brandfördernd, oder entzündbar .	Abfall	Verweigerung
Auf Strassenverzweigungen hat das von rechts kommende Fahrzeug den Vortritt. Fahrzeuge auf gekennzeichneten Hauptstrassen haben den Vortritt, auch wenn sie von links kommen.	Vortritt	Vorrang,Vorzug
Auf Verlangen des Beschuldigten sind ihm weitere konkret zu bezeichnende Aktenstücke schriftlich zu übersetzen .	Aktenstück	Prozesshandlung,Verfahrenshandlung
Auf den Jahresdurchschnitt bezogen, kann man davon ausgehen, dass in Südtirol insgesamt in ca. 11% der untersuchten Häuser, im Erdgeschoss, die von der EU empfohlene Eingriffsschwelle von 400 Bq/m³ überschritten wird.	Eingriffsschwelle	Auslösewert
Auf den Tauschvertrag finden die Vorschriften über den Kaufvertrag in dem Sinne Anwendung, dass jede Vertragspartei mit Bezug auf die von ihr versprochene Sache als Verkäufer und mit Bezug auf die ihr zugesagte Sache als Käufer behandelt wird.	Vertragspartei	Kunde,Versicherungsnehmer
Auf die CE-Kennzeichnung auf Aufzügen folgt die Kennnummer der notifizierten Stelle, die im Rahmen eines der folgenden Konformitätsbewertungsverfahren tätig geworden ist .	Kennnummer	Benutzerkennung,Kennung
Auf die Einlagen der Gesellschafter und auf die Geschäfte, durch die die Gesellschaft Güter und Forderungen von Gründungsgesellschaftern, Gesellschaftern und Verwaltern erwirbt, finden die Artikel 2342, 2343 und 2343-bis Anwendung.	Gründungsgesellschafter	Stifter
Aufgabe der drei Pädagogischen Landesforschungs-, Versuchs- und Fortbildungsinstituten ist es  die wichtigsten Initiativen in den Bereichen der Forschung, der Schulversuche und der Fortbildung durch geeignete Veröffentlichungen bekanntzugeben.	Fortbildung	Aktualisierung
Aufwendungen sind dem Mäkler nur zu ersetzen, wenn es vereinbart ist. 2Dies gilt auch dann, wenn ein Vertrag nicht zustande kommt.	Mäkler	Mediator
Augen- und Gesichtsschutz ist persönliche Schutzausrüstung zum Schutz der Augen und des Gesichts vor Verletzungen und vor anderen Schädigungen.	Schutz der Augen	Augenschutz,Augenschutzgerät
Augenschutzgeräte werden unterteilt in: Bügelbrillen mit angebautem oder integriertem Seitenschutz, Korbbrillen (Vollsichtbrillen), Augenschutzgeräte mit Gesichtsschutz (Schutzschilde, Schutzschirme/Schutzgitter, Schutzhauben).	Augenschutzgerät	Schutz der Augen
Aus besonderen Gründen kann der Standesbeamte verpflichtet sein, eine Trauung außerhalb des Amtsgebäudes und der Dienstzeit zu ermöglichen.	Trauung	Ehe
Aus dem Verlöbnis entsteht kein klagbarer Anspruch auf Eingehung der Ehe.	Ehe	Eheschliessung,Heirat,Trauung
Aus dem gesamten Verhalten, namentlich der umsichtigen Vorbereitung der Tat und Flucht ins Ausland, und dem Umstand, dass sich der Beschwerdeführer als internationaler Verbrecher betätigt hat, ist auf Charaktereigenschaften zu schliessen, die ihn als besonders gefährlichen Täter kennzeichnen.	Verbrecher	verbrecherisch
Aus der Ehe entspringt die gegenseitige Pflicht zur Treue, zum geistigen und materiellen Beistand, zur Mitarbeit im Interesse der Familie und zum Zusammenleben.	Ehe	Eheschließung,Heirat,Trauung
Aus der Ehe entspringt die gegenseitige Pflicht zur Treue, zum geistigen und materiellen Beistand, zur Mitarbeit im Interesse der Familie und zum Zusammenleben.	Pflicht zur Treue	Treuepflicht
Aus der Ehe entspringt die gegenseitige Pflicht zur Treue, zum geistigen und materiellen Beistand, zur Mitarbeit im Interesse der Familie und zum Zusammenleben.	Zusammenleben	eheliche Lebensgemeinschaft
Aus dieser Überzeugung und Erkenntnis heraus entwickelten er Montesquieu und seine Nachfolger die klassische Lehre von der Gewaltenteilung in einem Staat, das heißt der Trennung der gesetzgebenden Gewalt (Exekutive) und der richterlichen Gewalt (Jurisdiktion).	gesetzgebende Gewalt	Legislative
Ausnahmsweise besteht ein Formzwang dann, wenn er durch Parteivereinbarung oder Gesetz vorgesehen ist.	Formzwang	gesetzlich vorgeschriebene Form
Ausnahmsweise ist der Öffentlichkeitsgrundsatz aber auch dann verletzt, wenn die physische Möglichkeit des Zutritts zwar besteht, aber im unmittelbaren Bereich des Zugangs zum Verhandlungsraum starke psychische Hemmungsschwellen errichtet sind.	Öffentlichkeitsgrundsatz	Öffentlichkeitsprinzip
Autonome Legitimation kennzeichnet vor allem die unter der Bezeichnung der „funktionalen Selbstverwaltung“ zusammengefassten Bereiche der Universitäten, der Sozialversicherungsträger und der Kammern .	funktionale Selbstverwaltung	Träger funktionaler Selbstverwaltung,funktionale Selbstverwaltungskörperschaft
Bandenmässigkeit ist erst anzunehmen, wenn der Wille der Täter auf die gemeinsame Verübung einer Vielheit von Diebstählen oder Raubtaten gerichtet ist.	Verübung	Kommission,Kommissionsvertrag
Beantragt eine erwerbstätige Person die Feststellung der Eigenschaft als schwerbehinderter Mensch .... gelten gesetzlich festgelegte Fristen .	erwerbstätige Person	Arbeitnehmer
Befinden sich alle Anteile eines übertragenden Rechtsträgers in der Hand des übernehmenden Rechtsträgers, so entfallen die Angaben über den Umtausch der Anteile .	übernehmender Rechtsträger	neuer Rechtsträger
Begünstigung ist die Hilfeleistung an einen anderen , der eine rechtswidrige - nicht notwendig schuldhafte - Tat begangen hat, in der Absicht, ihm die Vorteile der Tat zu sichern .	Vorteil	Ertrag
Bei Auslegung von Verträgen ist nicht an dem buchstäblichen Sinne des Ausdrucks zu haften, sondern die Absicht der Parteien zu erforschen und der Vertrag so zu verstehen, wie es der Übung des redlichen Verkehrs entspricht.	Partei	Teilnehmer,Versicherungsnehmer
Bei Bestellung der Überwachungsratsmitglieder und vor Annahme des Amtes müssen der Gesellschafterversammlung Beauftragungen im Bereich der Verwaltung und der Kontrolle, die von ihnen bei anderen Gesellschaften wahrgenommen werden, bekannt gegeben werden.	Überwachungsratsmitglied	Bürgermeister,Rechnungsprüfer
Bei Fahrlässigkeit können sie als Massnahmen die Verwarnung, den Verweis oder die Änderung des Aufgabenkreises vorsehen. Bei Vorsatz oder Grobfahrlässigkeit können sie zudem die Lohnkürzung, die Busse sowie die Änderung der Arbeitszeit und des Arbeitsortes vorsehen.	Verwarnung	Impfauffrischung
Bei Fahrlässigkeit können sie als Massnahmen die Verwarnung, den Verweis oder die Änderung des Aufgabenkreises vorsehen. Bei Vorsatz oder Grobfahrlässigkeit können sie zudem die Lohnkürzung, die Busse sowie die Änderung der Arbeitszeit und des Arbeitsortes vorsehen.	Verweis	Zensur
Bei Gefahr im Verzug hat die Behörde die erforderlichen Maßnahmen unmittelbar anzuordnen und gegen Ersatz der Kosten durch den Verpflichteten nötigenfalls unverzüglich durchführen zu lassen.	Ersatz der Kosten	Kostenersatz
Bei Kollusion entfällt die Vertretungsmacht, ist also der Vertretungsakt unwirksam. Kollusion macht das Geschäft überdies wegen Sittenwidrigkeit ungültig, auch wenn der Vertreter innerhalb seiner Vertretungsmacht gehandelt hat.	Kollusion	rechtswidrige Absprache
Bei Namenaktien tritt an die Stelle der Veröffentlichungen eine Zahlungsaufforderung und Ansetzung der Nachfrist an die im Aktienbuch eingetragenen Aktionäre durch eingeschriebenen Brief. In diesem Falle läuft die Nachfrist vom Empfang der Zahlungsaufforderung an.	Zahlungsaufforderung	Anweisung
Bei Nichteinhaltung der Pflichten und bei unentschuldigten Absenzen schlagen der Primararzt und der Direktor der Apotheke dem Sanitätsdirektor einen schriftlichen Verweis vor.	Verweis	Impfauffrischung
Bei Personen, die gemäß § 5 Abs. 5  StVO Straßenverkehrsordnung zu einem Arzt gebracht werden, ist nach Feststellung der klinisch festgestellten Symptome einer Blutalkoholkonzentration von unter 0,8 Promille nicht zwingend eine Blutabnahme vorzunehmen.	Blutalkoholkonzentration	AAK,Atemalkoholkonzentration,Atemluft auf Alkoholgehalt
Bei Privatisierung durch Abstoßung an den Markt werden die Archive der Behörden auch privatisiert, mit Ausnahme der laufenden Archive.	laufendes Archiv	laufende Ablage,laufende Registratur
Bei Teilungen der Grundstücke sind die gegenseitigen Grenzen durch entsprechende Grenzzeichen auf eine deutliche und unwandelbare Art zu bezeichnen.	Grundstück	Fonds
Bei Vornahme der übrigen Gemeindewahlen beschliesst die Wählerschaft, ob sie die Wahlen in offener oder geheimer Abstimmung vornehmen wolle. Im letztern Falle hat sie sich zugleich darüber zu entscheiden, ob die Wahlen mittels der Wahlurnen vorgenommen werden sollen.	Wählerschaft	Wahlrecht
Bei Zwangsübertragungen  werden Grunddienstbarkeiten je nach den Erfordernissen der neuen Anordnung aufgehoben, erhalten oder begründet.	Grunddienstbarkeit	Dienstbarkeit,Dienstbarkeitsrecht
Bei dem Gericht der Klage kann eine Widerklage erhoben werden, wenn der Gegenanspruch mit dem in der Klage geltend gemachten Anspruch oder mit den gegen ihn vorgebrachten Verteidigungsmitteln in Zusammenhang steht.	Anspruch	Antrag,Gesuch
Bei den Landesgerichten nimmt der Präsident die Bestellung des Vollstreckungsrichters nach Vorlage der Akte durch den Kanzleibeamten, die innerhalb von zwei Tagen nach ihrer Anlegung zu erfolgen hat, vor.	Vollstreckungsrichter	Vollstreckungsgericht
Bei den Realakten kommt es auf die Geschäftsfähigkeit des Handelnden nicht an.	Realakt	schlichtes Verwaltungshandeln
Bei der Anwendung der Auslösewerte wird die dämmende Wirkung eines persönlichen Gehörschutzes der Beschäftigten nicht berücksichtigt.	Auslösewert	Interventionsschwelle
