model	Success rate of tgt_term_gold	Success rate of tgt_term_AT	Success rate of tgt_term_DE	Success rate of tgt_term_CH
test_translations_epoch4	48.79	3.61	3.81	3.28
test_translations_epoch8	55.92	3.69	3.39	3.28
test_translations_epoch0	30.21	7.62	8.4	7.93
test_translations_epoch15	59.31	3.93	3.74	3.56
test_translations_epoch5	50.4	4.84	4.03	3.74
test_translations_epoch2	41.65	3.2	3.53	3.56
test_translations_epoch12	58.76	4.18	4.17	3.74
test_translations_epoch14	59.56	4.1	3.81	3.65
test_translations_epoch6	53.59	3.77	3.6	3.19
test_translations_epoch1	33.96	3.77	3.46	3.28
test_translations_epoch9	56.07	3.69	4.24	4.1
test_translations_epoch7	54.0	4.1	4.03	4.01
test_translations_epoch10	57.19	4.02	4.17	3.83
test_translations_epoch3	45.04	4.1	3.95	3.83
test_translations_epoch13	59.01	4.18	4.03	3.74
test_translations_epoch11	56.93	4.51	4.17	3.92
