Tiny Aya Global,GPT OSS 20B,UvA-MT,Qingqiu-MT-9B,Dubformer,DeepSeek V4 Pro,CUNI-EdUKate,Qwen 3.6 - 27b,Gemini 3.1 Pro,Ministral 3 - 14B,GoogleTranslate,Tower 9B,Mistral Medium 3.5,Command A+,Cohere CAT+,GPT OSS 120B,Qwen 3.5 - 9b,Gemma 4 - 4B,CUNI-MH-v3,TRIVE,SalamandraTA,GPT 5.5,Gemma 4 - 31B,GLM 4 - 9B
,,,,,,,,,,,,,,,,,,,,,,,
[],[],[],[],[],['Privatgutachter'],[],[],[],[],[],['Privatgutachter'],[],[],['Privatgutachter'],[],[],[],[],[],[],[],[],[]
[],[],[],[],['Privatgutachter'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
[],[],[],[],['Streiteinlassung der Parteien'],[],[],[],[],['Streiteinlassung der Parteien'],[],[],['Streiteinlassung der Parteien'],[],[],[],[],[],[],[],[],[],[],[]
[],[],[],['possessorisch Klage'],[],[],[],['possessorisch Klage'],[],[],[],['possessorisch Klage'],[],['possessorische Klage'],['possessorisch Klage'],[],[],['possessorische Klage'],[],[],['possessorisch Klage'],[],['possessorisch Klage'],[]
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
[],[],['Feststellung der Zuständigkeit'],['Feststellung der Zuständigkeit'],[],[],[],['Feststellung der Zuständigkeit'],[],['Feststellung der Zuständigkeit'],[],[],[],[],[],['Feststellung der Zuständigkeit'],['Feststellung der Zuständigkeit'],['Feststellung der Zuständigkeit'],[],[],[],['Feststellung der Zuständigkeit'],['Feststellung der Zuständigkeit'],[]
['Rechtsmittelverzicht'],['Rechtsmittelverzicht'],['Rechtsmittelverzicht'],['Rechtsmittelverzicht'],['Rechtsmittelverzicht'],['Rechtsmittelverzicht'],[],['Rechtsmittelverzicht'],[],['Rechtsmittelverzicht'],[],[],['Rechtsmittelverzicht'],['Rechtsmittelverzicht'],['Rechtsmittelverzicht'],['Rechtsmittelverzicht'],[],[],[],['Rechtsmittelverzicht'],['Rechtsmittelverzicht'],['Rechtsmittelverzicht'],['Rechtsmittelverzicht'],[]
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
[],[],[],['Parteibeitritt'],['Parteibeitritt'],[],[],['Parteibeitritt'],['Parteibeitritt'],[],[],[],['Parteibeitritt'],['Parteibeitritt'],['Parteibeitritt'],[],['Parteibeitritt'],['Parteibeitritt'],[],[],['Parteibeitritt'],['Parteibeitritt'],['Parteibeitritt'],[]
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
[],[],['Kurator'],[],[],[],[],['Kurator'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['Kurator'],[]
['Klagegrund'],[],['Klagegrund'],['Klagegrund'],['Klagegrund'],['Klagegrund'],[],[],['Klagegrund'],[],['Klagegrund'],['Klagegrund'],['Klagegrund'],['Klagegrund'],['Klagegrund'],['Klagegrund'],['Klagegrund'],['Klagegrund'],['Klagegrund'],['Klagegrund'],[],['Klagegrund'],['Klagegrund'],['Klagegrund']
[],[],['Klagebegehren'],['Klagebegehren'],['Klagebegehren'],['Klagebegehren'],[],['Klagebegehren'],['Klagebegehren'],['Klagebegehren'],[],['Klagebegehren'],['Klagebegehren'],[],[],[],['Klagebegehren'],[],[],['Klagebegehren'],['Klagegegenstand'],['Klagebegehren'],[],[]
['Realrecht'],[],[],['Sachenrecht'],[],[],[],[],[],['Sachenrecht'],[],['Realrecht'],[],[],['Realrecht'],[],[],['Realrecht'],[],[],[],[],[],[]
,,,,,,,,,,,,,,,,,,,,,,,
[],[],[],['Hausgehilfe'],['Hausgehilfe'],[],[],['Hausgehilfe'],[],['Hausgehilfe'],[],[],[],[],[],[],['Hausgehilfe'],[],[],['Hausgehilfe'],[],[],[],[]
[],[],['Kindergartenhelfer'],[],[],[],[],['pädagogischer Assistent'],[],[],[],['Kindergartenhelfer'],['Kindergartenhelfer'],['Kindergartenhelfer'],['pädagogischer Assistent'],[],[],[],['Kindergartenhelfer'],['Kindergartenhelfer'],['Kindergartenhelfer'],[],['Kindergartenhelfer'],[]
,,,,,,,,,,,,,,,,,,,,,,,
['Sozialarbeiter'],['Sozialarbeiter'],['Sozialarbeiter'],['Sozialarbeiter'],['Sozialarbeiter'],[],['Sozialarbeiter'],['Sozialarbeiter'],[],['Sozialarbeiter'],['Sozialarbeiter'],['Sozialarbeiter'],['Sozialarbeiter'],['Sozialarbeiter'],['Sozialarbeiter'],['Sozialarbeiter'],['Sozialarbeiter'],['Sozialarbeiter'],['Sozialarbeiter'],[],['Sozialarbeiter'],[],['Sozialarbeiter'],[]
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
