Tiny Aya Global,GPT OSS 20B,UvA-MT,Qingqiu-MT-9B,Dubformer,DeepSeek V4 Pro,CUNI-EdUKate,Qwen 3.6 - 27b,Gemini 3.1 Pro,Ministral 3 - 14B,GoogleTranslate,Tower 9B,Mistral Medium 3.5,Command A+,Cohere CAT+,GPT OSS 120B,Qwen 3.5 - 9b,Gemma 4 - 4B,CUNI-MH-v3,TRIVE,SalamandraTA,GPT 5.5,Gemma 4 - 31B,GLM 4 - 9B
"['Abfall', 'Abfall']","['Abfall', 'Abfall']","['Abfall', 'Abfall']","['Abfall', 'Abfall', 'Abfall', 'Abfall']","['Abfall', 'Abfall', 'Abfall', 'Abfall']","['Abfall', 'Abfall', 'Abfall', 'Abfall']","['Abfall', 'Abfall']","['Abfall', 'Abfall', 'Abfall', 'Abfall']","['Abfall', 'Abfall', 'Abfall', 'Abfall']","['Abfall', 'Abfall', 'Abfall', 'Abfall']","['Abfall', 'Abfall', 'Abfall', 'Abfall']","['Abfall', 'Abfall', 'Abfall', 'Abfall']","['Abfall', 'Abfall', 'Abfall', 'Abfall']","['Abfall', 'Abfall']","['Abfall', 'Abfall', 'Abfall', 'Abfall']","['Abfall', 'Abfall']","['Abfall', 'Abfall', 'Abfall', 'Abfall']","['Abfall', 'Abfall', 'Abfall', 'Abfall']","['Abfall', 'Abfall', 'Abfall', 'Abfall']","['Abfall', 'Abfall', 'Abfall', 'Abfall']","['Abfall', 'Abfall', 'Abfall', 'Abfall']","['Abfall', 'Abfall', 'Abfall', 'Abfall']","['Abfall', 'Abfall', 'Abfall', 'Abfall']","['Abfall', 'Abfall', 'Abfall']"
[],['vorbereitend Verfahrenshandlung'],['vorbereitend Verfahrenshandlung'],['vorbereitend Verfahrenshandlung'],[],['vorbereitend Verfahrenshandlung'],[],[],[],[],[],[],['vorbereitend Verfahrenshandlung'],[],['vorbereitend Verfahrenshandlung'],['vorbereitend Verfahrenshandlung'],['vorbereitend Verfahrenshandlung'],['vorbereitend Verfahrenshandlung'],[],['vorbereitend Verfahrenshandlung'],[],['vorbereitend Verfahrenshandlung'],['vorbereitend Verfahrenshandlung'],[]
[],['Abwertung'],['Abwertung'],[],['Abwertung'],['Abwertung'],['Abwertung'],[],['Abwertung'],['Abwertung'],[],[],['Abwertung'],[],[],['Abwertung'],[],[],[],['Abwertung'],['Abwertung'],['Abwertung'],[],[]
[],[],['Suchtrehabilitation'],[],[],[],[],[],['Suchtrehabilitation'],[],[],[],[],[],[],[],[],[],[],[],[],['Suchtrehabilitation'],[],[]
[],['periodisch Nachprüfung'],['periodische Nachprüfung'],['periodisch Nachprüfung'],['periodisch Nachprüfung'],['periodische Nachprüfung'],[],['periodisch Nachprüfung'],['periodisch Nachprüfung'],['periodisch Nachprüfung'],[],[],['periodisch Nachprüfung'],['periodisch Nachprüfung'],['periodisch Nachprüfung'],['periodisch Nachprüfung'],[],[],[],['periodisch Nachprüfung'],[],"['periodisch Nachprüfung', 'periodisch Nachprüfung']",['periodisch Nachprüfung'],[]
[],['Kennnummer'],['Kennnummer'],['Kennnummer'],['Kennnummer'],['Kennnummer'],[],[],['Kennnummer'],['Kennnummer'],[],['Kennnummer'],['Kennnummer'],['Kennnummer'],['Kennnummer'],['Kennnummer'],['Kennnummer'],[],[],['Kennnummer'],[],['Kennnummer'],['Kennnummer'],[]
[],['Verordnung'],['Verordnung'],['Verordnung'],['Verordnung'],['Verordnung'],[],['Verordnung'],['Verordnung'],['Verordnung'],['Verordnung'],['Verordnung'],['Verordnung'],['Verordnung'],['Verordnung'],[],['Verordnung'],[],['Verordnung'],['Verordnung'],['Verordnung'],['Verordnung'],['Verordnung'],['Verordnung']
[],[],['geheim'],['geheim'],[],['geheim'],['geheim'],['geheim'],['geheim'],['geheim'],['geheim'],['geheim'],['geheim'],[],[],['geheim'],['geheim'],[],['geheim'],['geheim'],['geheim'],['geheim'],['geheim'],[]
[],[],['Lebenspartner'],['Lebenspartner'],['Lebenspartner'],['Lebenspartner'],[],[],['Lebenspartner'],[],[],['Lebenspartner'],[],['Lebenspartner'],[],[],['Lebenspartner'],[],['Lebenspartner'],['Lebenspartner'],[],['Lebenspartner'],['Lebenspartner'],['Lebenspartner']
['Führungskraft'],[],['Führungskraft'],['Führungskraft'],['Führungskraft'],['Führungskraft'],[],['Führungskraft'],['Führungskraft'],[],['Führungskraft'],['Führungskraft'],[],['Führungskraft'],['Führungskraft'],[],['Führungskraft'],['Führungskraft'],[],['Führungskraft'],[],['Führungskraft'],['Führungskraft'],[]
