llama_8b_omonimi3,tower_13b_omonimi
[],[]
[],[]
[],[]
"['Verwahrer', 'Verwahrer']",[]
['Verwahrer'],[]
[],[]
[],[]
[],[]
[],[]
[],[]
[],[]
[],[]
[],[]
[],[]
[],[]
[],[]
[],[]
[],[]
[],[]
[],[]
['Bindung'],[]
[],[]
[],[]
['Bindung'],[]
['Bindung'],['Bindung']
[],[]
[],[]
[],[]
[],[]
[],[]
[],[]
[],[]
[],['Aufhebung']
[],[]
[],[]
[],[]
[],[]
[],[]
[],[]
[],[]
['Aufhebung'],['Aufhebung']
[],['Aufhebung']
['Aufhebung'],['Aufhebung']
[],['Aufhebung']
[],['Aufhebung']
[],['Mieter']
[],['Mieter']
['Mieter'],['Mieter']
