context	tgt_term_gold	tgt_term_AT	tgt_term_DE	tgt_term_CH
Die sachliche Zuständigkeit der österreichischen Gerichte hängt entweder vom Wert des Streitgegenstandes (Wertzuständigkeit) oder von der Art der Streitsache (Eigenzuständigkeit) ab.	Wertzuständigkeit		streitwertabhängige Zuständigkeit	
Der Kanzleibeamte hat dem ordnungsgemäß benannten Privatsachverständigen von den vorgesehenen Untersuchungen des Amtssachverständigen Mitteilung zu machen , damit er an ihnen gemäß Artikel 194 und 201 der Zivilprozeßordnung teilnehmen kann.	Parteisachverständiger,Privatsachverständiger	Privatgutachter	Parteigutachter,Privatgutachter	
Der Parteisachverständige ist  bei den Tätigkeiten des vom Gericht bestellten Sachverständigen anwesend und nimmt immer dann an der Verhandlung und an der nichtöffentlichen Sitzung teil, wenn der vom Gericht bestellte Sachverständige einschreitet .	Parteisachverständiger,Privatsachverständiger	Privatgutachter	Parteigutachter,Privatgutachter	
Der Instruktionsrichter prüft von Amts wegen die Ordnungsmäßigkeit der Einlassung der Parteien und fordert diese, wenn nötig, auf, die Prozeßhandlungen und die Urkunden, die er als mangelhaft erkennt, zu ergänzen oder den Vorschriften anzupassen.	Einlassung der Partei,Einlassung der Parteien	Streiteinlassung der Parteien		
Für Besitzschutzklagen  und für die Lage auf Unterlassung einer Bauführung und wegen eines drohenden Schadens  ist das Gericht des Ortes zuständig, an dem sich der angezeigte Sachverhalt ereignet hat.	Besitzschutzklage	possessorische Klage	possessorische Klage	Besitzesschutzklage
Die Parteien können die Sprache oder die Sprachen, die im Schiedsverfahren zu verwenden sind, vereinbaren. Fehlt eine solche Vereinbarung, so bestimmt hierüber das Schiedsgericht.	Schiedsverfahren		schiedsgerichtliches Verfahren,schiedsrichterliches Verfahren	
Jeder Sachverständige hat vor dem Beginne der Beweisaufnahme den Sachverständigeneid zu leisten. Von der Beeidigung des Sachverständigen kann abgesehen werden, wenn beide Parteien auf die Beeidigung verzichten.	Beeidigung des Sachverständigen,Sachverständigeneid		Sachverständigenbeeidigung,Vereidigung des Sachverständigen	
Als rechtskräftig gilt ein Urteil, wenn es dem Verfahren der Zuständigkeitsfeststellung, der Berufung, der Kassationsbeschwerde sowie der Wiederaufnahmeklage aus den in Artikel 395, Ziffer 4 und 5, bezeichneten Gründen nicht mehr unterliegt .	Festlegung der Zuständigkeit,Zuständigkeitsfeststellung	Feststellung der Zuständigkeit	Feststellung der Zuständigkeit	
Außer in bestimmten Fällen  schließt die Anerkennung, die entweder aus einer ausdrücklichen Annahme oder aus Handlungen hervorgeht, die mit dem Willen, sich der vom Gesetz zugelassenen Rechtsmittel zu bedienen, unvereinbar sind, die Einbringung eines Rechtsmittels aus .	Anerkennung	Rechtsmittelverzicht	Rechtsmittelverzicht	Rechtsmittelverzicht
Als RA wird nur zugelassen, wer die Befähigung zum Richteramt erlangen hat.	Advokat,RA,Rechtsanwalt			Anwalt,Fürsprecher
Der Arbeitnehmer kann sich von einem Vertreter der Gewerkschaftsorganisation, der er angehört oder der er den Auftrag erteilt, oder von einem Rechtsanwalt oder einem Arbeitsberater unterstützen lassen.	Advokat,RA,Rechtsanwalt			Anwalt,Fürsprecher
Im Fall der notwendigen Streitgenossenschaft wird ein nur von einigen der Streitgenossen abgegebenes Geständnis vom Gericht frei gewürdigt.	Streitgenossenschaft	subjektive Klagenhäufung	subjektive Klagehäufung	subjektive Klagehäufung
Die Außerkraftsetzung eines Gesetzes oder einer gesetzesvertretenden Maßnahme mit Gesetzeskraft oder eines Teiles derselben ist zum Volksentscheid zu bringen, wenn dies von fünfhunderttausend Wählern oder von fünf Volksvertretungen der Regionen verlangt wird.	Aufhebung,Außerkraftsetzung			Ausserkraftsetzung
Eine Volksbefragung zwecks Abstimmung über die gänzliche oder teilweise Aufhebung eines Gesetzes oder eines Aktes mit Gesetzeskraft wird ausgeschrieben, wenn es fünfhunderttausend Wähler oder fünf Regionalräte verlangen.	Aufhebung,Außerkraftsetzung			Ausserkraftsetzung
In Hinblick auf die in Artikel 526 CPC vorgesehenen Wirkungen darf der Beitritt nicht nach der ersten Verhandlung für das Erscheinen der Parteien erfolgen.	Beitritt	Parteibeitritt	Parteibeitritt	Parteibeitritt
Die Streiteinlassung besteht darin, dass die bestreffende Partei schriftlich oder mündlich zur Sache vorbringt.	Einlassung in das Verfahren,Streiteinlassung		Einlassung auf das Verfahren	
Nach der Einlassung in das Verfahren sind alle Zustellungen und Mitteilungen an den Prozessbevollmächtigten, der sich eingelassen hat, vorzunehmen, sofern das Gesetz nicht etwas anderes bestimmt.	Einlassung in das Verfahren,Streiteinlassung		Einlassung auf das Verfahren	
Besteht zwischen Minderjährigen, die derselben Vormundschaft unterstehen, ein Interessenwiderstreit, so bestellt das Vormundschaftsgericht den Minderjährigen einen Spezialkurator.	Spezialkurator	Kurator	Pfleger	
Die Klageschrift muss enthalten: . die bestimmte Angabe des Gegenstandes und des Grundes des erhobenen Anspruchs, sowie einen bestimmten Antrag.	Grund des erhobenen Anspruchs	Klagegrund	Klagebegründung,Klagegrund	Rechtsgrund
Die Klageanschrift hat zu enthalten:  Die bestimmte Angabe des Gegenstandes des erhobenen Anspruchs.	Gegenstand des erhobenen Anspruchs	Klagebegehren,Klagegegenstand	Klageantrag,Klagegegenstand	Rechtsbegehren
Die Widmung kann vom Eigentümer der Hauptsache oder von demjenigen, der ein dingliches Recht an derselben hat, vorgenommen werden.	dingliches Recht	Realrecht,Sachenrecht,dingliches Sachenrecht	Realrecht,Sachenrecht	Realrecht,Sachenrecht
Alle Durchführungsverordnungen zu diesem Gesetz sind innerhalb von 3 Monaten nach seinem In-Kraft-Treten zu erlassen.	Durchführungsverordnung			Vollziehungsverordnung
Von der telematischen Kündigungsprozedur ausgenommen sind öffentlich Bedienstete ebenso wie Hausangestellte und Arbeitnehmer, die während der Probezeit kündigen. Aufrecht bleibt die bereits bestehende Vorgehensweise bei der Selbstkündigung von Müttern innerhalb des dritten Lebensjahres des Kindes.	Hausangestellter,Haushaltsgehilfe	Hausgehilfe	Hausgehilfe	
Für jede Abteilung des Kindergartens werden eine Kindergärtnerin oder ein Kindergärtner und eine pädagogische Mitarbeiterin oder ein pädagogischer Mitarbeiter zugewiesen.	Kindergartenassistent,pädagogischer Mitarbeiter	Kindergartenhelfer,pädagogischer Assistent	Kindergartenhelfer	
Der spezialisierte Straßenwärter/die spezialisierte Straßenwärterin verrichtet nach den Anweisungen des/der Vorgesetzten Arbeiten im Zusammenhang mit dem Bau, der Instandhaltung und Überwachung von Straßen und Kunstbauten und wartet die entsprechenden Maschinen und Geräte.	spezialisierter Straßenwärter			Strassenmeister
Stellt der Sozialassistent fest, daß die Eltern, die der Anvertrauung zugestimmt haben, den Minderjährigen vernachlässigen, so verfaßt er einen Bericht, der über den Direktor des Landesamtes der zuständigen Gerichtsbehörde vorzulegen ist .	Sozialassistent	Sozialarbeiter	Sozialarbeiter	Sozialarbeiter
Der Werbesachbearbeiter/die Werbesachbearbeiterin hilft bei der Organisation und Abwicklung von Werbeveranstaltungen im Fremdenverkehrssektor mit.	Werbeassistent,Werbesachbearbeiter			Kommunikationsplaner
Der Betriebsarzt übt die eigene Tätigkeit in folgender Form aus: a) als Beschäftigter oder Mitarbeiter einer externen öffentlichen oder privaten Struktur, die mit dem Unternehmer konventioniert ist; b) als Freiberufler; .	Freiberufler		Freelancer	
Die Nichtbeachtung der Sorgfalts- und Treuepflicht kann je nach der Schwere der Verfehlung und im Einklang mit den Ständischen Vorschriften zur Anwendung von Disziplinarmaßnahmen führen.	Disziplinarmaßnahme,Disziplinarstrafe			Disziplinarmassnahme
Die Regierung der Republik besteht aus dem Präsidenten des Ministerrates und den Ministern, die zusammen den Ministerrat bilden.	Ministerrat		Bundesregierung	Bundesrat
Gelegentlich gibt es auch Minister ohne Geschäftsbereich; sie sind nur Kabinettsmitglieder, nicht aber oberste Verwaltungsbehörde.	Minister ohne Geschäftsbereich	Minister ohne Portefeuille		
Gemeinden, Provinzen, Großstädte mit besonderem Status und Regionen sind autonome Körperschaften mit eigenen Statuten, Befugnissen und Aufgaben gemäß den in der Verfassung verankerten Grundsätzen.	Gemeinde	Ortsgemeinde		Einheitsgemeinde,Einwohnergemeinde,politische Gemeinde
In den Gemeinden der Provinz Bozen hat jede Sprachgruppe das Recht, im Gemeindeausschuss vertreten zu sein, wenn sie im Gemeinderat mit wenigstens zwei Räten vertreten ist.	Gemeinderat	Gemeindevertretung	Gemeindevertretung	Gemeindeparlament
Die Mitglieder der Gemeindeleitstelle für den Zivilschutz werden vom Gemeinderat ernannt; sie haben die Aufgabe, den Bürgermeister in der Vorhersage, in der Vorbeugung und in der Durchführung der im Katastrophenfall zu ergreifenden Maßnahmen zu unterstützen.	Bürgermeister			Gemeindeammann,Gemeindepräsident,Stadtammann,Stadtpräsident
Falls mit der Verwaltung der Gemeinnutzungsgüter, welche der Gemeinde gehören, der Gemeindeausschuss betraut wird, kann diese über den Haushaltsplan der Gemeinde abgewickelt werden.	Gemeindeausschuss	Gemeindevorstand,Stadtrat,Stadtsenat		Gemeindeexekutive,Gemeinderat
Der Gemeindeausschuss besteht aus dem Bürgermeister als Vorsitzendem und aus den Gemeindereferenten, deren Anzahl in der Satzung  bestimmt ist.	Gemeindeassessor,Gemeindereferent,Stadtrat	Gemeindevorstand		
Die Unterschrift muss von einer der folgenden  Personen beglaubigt werden: Notare, Friedensrichter, , Bürgermeister, Gemeindeassessoren und Landesräte, Präsidenten der Gemeinderäte und Landtage, Präsidenten und Vizepräsidenten der Stadtviertelräte, Gemeindesekretäre und Sekretäre der Provinzen, .	Gemeindeassessor,Gemeindereferent,Stadtrat	Gemeindevorstand		
Die Gemeinderatsmitglieder haben das Initiativrecht in jeder dem Rat zur Beschlussfassung unterbreiteten Angelegenheit.	Gemeinderat,Gemeinderatsmitglied	Mitglied des Gemeinderats		
Die Einrichtung durch Gesetz, der eigene und übertragene Wirkungsbereich, die Weisungsfreiheit im eigenen Wirkungsbereich, die Staatsaufsicht, die demokratische Bestellung der Organe, die Privatrechtsfähigkeit und die Satzungsautonomie stellen die organisationsrechtlichen und funktionalen Grundlagen und Schranken der nichtterritorialen Selbstverwaltung dar.	Satzungsautonomie,Satzungsbefugnis	Autonomie	Autonomie,Satzungsgewalt	
Gemeinden, Provinzen, Großstädte mit besonderem Status und Regionen haben Finanzautonomie für Einnahmen und Ausgaben.	Finanzautonomie	finanzielle Selbständigkeit		
Die Minister sind in ihrer Gesamtheit für die Handlungen des Ministerrates und einzeln für die Handlungen ihres Geschäftsbereiches verantwortlich.	Geschäftsbereich,Ministerium			Departement
Soweit im Gesellschaftsvertrag nichts anderes bestimmt ist, kann ein Gesellschafter nicht ohne Zustimmung aller Gesellschafter über seinen Gesellschaftsanteil verfügen.	Anteil,Gesellschaftsanteil	Geschäftsanteil,Kapitalanteil	Geschäftsanteil,Kapitalanteil	GmbH-Anteil,Kapitalanteil
Der Wille, Bürgschaft zu leisten, muß ausdrücklich erklärt werden.	Bürgschaft	Bürgschaftsvertrag	Bürgschaftsvertrag	Bürgschaftsvertrag
Die Abberufung eines im Gesellschaftsvertrag bestellten Geschäftsführers ist wirkungslos, wenn nicht ein wichtiger Grund vorliegt.	Geschäftsführer,Verwalter,Verwalter der Gesellschaft	Mitglied des Vorstandes,Vorstand,Vorstandsmitglied	Mitglied des Vorstandes,Mitglied des geschäftsführenden Organs,Vorstand,Vorstandsmitglied,geschäftsführendes Organ	Mitglied des Vorstandes,Vorstandsmitglied
Die Verwalter der an der Verschmelzung beteiligten Gesellschaften haben einen Bericht zu erstellen, in welchem der Verschmelzungsplan und insbesondere das Umtauschverhältnis für die Aktien oder Anteile unter rechtlichen und wirtschaftlichen Gesichtspunkten erläutert und begründet werden müssen.	Geschäftsführer,Verwalter,Verwalter der Gesellschaft	Mitglied des Vorstandes,Vorstand,Vorstandsmitglied	Mitglied des Vorstandes,Mitglied des geschäftsführenden Organs,Vorstand,Vorstandsmitglied,geschäftsführendes Organ	Mitglied des Vorstandes,Vorstandsmitglied
Die Verwalter können  wiedergewählt und von der Gesellschafterversammlung jederzeit abberufen werden, auch wenn sie im Gründungsvertrag bestellt worden sind .	Geschäftsführer,Verwalter,Verwalter der Gesellschaft	Mitglied des Vorstandes,Vorstand,Vorstandsmitglied	Mitglied des Vorstandes,Mitglied des geschäftsführenden Organs,Vorstand,Vorstandsmitglied,geschäftsführendes Organ	Mitglied des Vorstandes,Vorstandsmitglied
Die Bestimmungen der Artikel 2206 und 2207 sind auch auf Bevollmächtigte anzuwenden, die aufgrund einer ständigen Rechtsbeziehung die Befugnis haben, für den Unternehmer die mit dem Betrieb des Unternehmens zusammenhängenden Rechtshandlungen vorzunehmen, auch wenn sie dieses nicht leiten.	Bevollmächtigter,Vertreter		Handlungsbevollmächtigter,Prokurist	Prokurist
Die Verwalter haben den Jahresabschluß, der aus der Bilanz, der Gewinn- und Verlustrechnung und dem Anhang besteht, aufzustellen.	Gewinn- und Verlustrechnung,GuV-Rechnung		Erfolgsrechnung	Betriebsrechnung,Erfolgsrechnung
Die entsprechende Gegenbuchung kann entweder als Aufwand in der GuV-Rechnung erfolgen (als Steuern des Geschäftsjahres) oder aber als Abzug von den betreffenden  Rücklagen.	Gewinn- und Verlustrechnung,GuV-Rechnung		Erfolgsrechnung	Betriebsrechnung,Erfolgsrechnung
Der Auftrag umfasst nicht nur die Rechtshandlungen, für die er erteilt wurde, sondern auch jene, die zu ihrer Durchführung notwendig sind.	Auftrag	Auftragsvertrag,Mandat		
Bei der Gesellschaft mit beschränkter Haftung haftet für die Verbindlichkeiten der Gesellschaft nur die Gesellschaft mit ihrem Vermögen.	Gesellschaft mit beschränkter Haftung,GmbH	GesmbH		
Die Gesellschafter einer Kapitalgesellschaft (Gesellschaft mit beschränkter Haftung – GmbH, Aktiengesellschaft – AG) sind verpflichtet ein Mindestkapital einzuzahlen .	Gesellschaft mit beschränkter Haftung,GmbH	GesmbH		
Das Statut der Region wird einem Referendum unterworfen, wenn innerhalb von drei Monaten nach seiner Veröffentlichung ein Fünfzigstel der Wahlberechtigten der Region oder ein Fünftel der Mitglieder des Regionalrates dies beantragen.	Referendum,Volksabstimmung,Volksbefragung		Volksentscheid	
Eine Volksabstimmung zur vollständigen oder teilweisen Aufhebung eines Landesgesetzes wird anberaumt, wenn dies mindestens 13.000 Wähler fordern, die in die Wählerlisten einer Gemeinde des Landes eingetragen und für die Wahl des Südtiroler Landtages wahlberechtigt sind.	Referendum,Volksabstimmung,Volksbefragung		Volksentscheid	
Eine Volksbefragung zwecks Abstimmung über die gänzliche oder teilweise Aufhebung eines Gesetzes oder eines Aktes mit Gesetzeskraft wird ausgeschrieben, wenn es fünfhunderttausend Wähler oder fünf Regionalräte verlangen.	Referendum,Volksabstimmung,Volksbefragung		Volksentscheid	
Wer gegen die Mitteilungspflicht  verstößt, muss eine Verwaltungsstrafe von 500,00 Euro bis zu 1.500,00 Euro entrichten.	Verwaltungsstrafe			verwaltungsrechtliche Sanktion
Die Regelung des Kollektivarbeitsvertrages ist auch auf die  landwirtschaftlichen Gemeinschaftsverhältnisse und auf Pachtverhältnisse mit dem Selbstbebauer eines Grundstücks anzuwenden.	Selbstbebauer,selbstbearbeitender Bauer	selbst bewirtschaftender Kleinlandwirt	selbst anbauender Kleinlandwirt,selbst bewirtschaftender Kleinlandwirt	selbst bewirtschaftender Kleinlandwirt
Die Adoption darf zugunsten von Minderjährigen vorgenommen werden, die gemäß den folgenden Artikeln zur Adoption freigegeben worden sind.	Adoption	Annahme an Kindes Statt,Annahme an Kindesstatt	Annahme als Kind	
Die Zulage wird außerdem im Falle einer Adoption oder einer  Anvertrauung zur Betreuung vor der Adoption gewährt .	Anvertrauung zur Betreuung vor der Adoption,Überlassung zur adoptionsvorbereitenden Betreuung		Adoptionspflege,Pflegezeit vor der Adoption,Probezeit	
Der Beitritt derjenigen, die ein Interesse daran haben, und die Satzung des Konsortiums müssen aus einer Urkunde hervorgehen.	Anschluss,Beitritt		Anschließung	
Das Vormundschaftsgericht nimmt die Bestellung des Vormundes und des Vormundstellvertreters vor, sobald es von der Tatsache, die die Eröffnung der Vormundschaft nach sich zieht, Kenntnis erlangt hat.	Vormund	mit der Obsorge betraute Person		
Die Ablösung erfolgt durch Zahlung jenes Betrags, der sich aus der Kapitalisierung des jährlichen Pachtzinses auf der Grundlage der gesetzlichen Zinsen ergibt. Die Einzelheiten werden durch Sondergesetze geregelt.	gesetzliche Zinsen		durch Gesetz bestimmte Zinsen	
Zur ordnungsgemäßen Durchführung der mit den Hauptuntersuchungen verbundenen Kontrollen und Prüfungen müssen die Unternehmen laut Absatz 8 geeignete, in der Verordnung näher festgelegte fachliche und berufliche Voraussetzungen besitzen und über entsprechende Ausstattungen und Räumlichkeiten verfügen.	Verordnung	Rechtsverordnung	Rechtsverordnung	Rechtsverordnung
Wer einen Zuschuß im Sinne dieses Gesetzes bezieht, muß diesen samt Zinsen in der Höhe des Diskontsatzes rückerstatten, wenn er innerhalb von zehn Jahren die Selbstbearbeitung des Hofes einstellt oder den Hof oder Teile desselben veräußert .	Diskontsatz	Diskontzinsfuß		
Vor dem Hintergrund einer relativ günstigen Wirtschaftsentwicklung in Südtirol, die sich auf fast alle Sektoren erstreckte, konnten auch die Raiffeisenkassen im abgelaufenen Jahr mit guten Ergebnissen aufwarten.	Kasse für Landwirtschaft und Handwerk,Raiffeisenkasse	Raiffeisenbank	Raiffeisenbank	Raiffeisenbank
Ein Gläubiger kann auch ohne Einwilligung des Schuldners seine Forderung entgeltlich oder unentgeltlich übertragen, sofern die Forderung nicht höchstpersönlicher Natur oder die Übertragung nicht gesetzlich verboten ist.	Forderung	Schuldverhältnis im engeren Sinn	Recht auf eine Leistung,Schuldverhältnis im engeren Sinn	
Zur Bestimmung der Zuständigkeit gilt bei Gesellschaften ohne Rechtspersönlichkeit, nicht anerkannten Vereinen oder Komitees, wie sie in den Artikeln 36 und folgenden des Zivilgesetzbuches vorgesehen sind, als Sitz der Ort, an dem sie Tätigkeiten ständig ausüben.	ZGB,Zivilgesetzbuch	ABGB,Allgemeines bürgerliches Gesetzbuch	BGB,Bürgerliches Gesetzbuch	
Die Entlohnung des Arbeitnehmers  ist in dem von den Ständischen Vorschriften bestimmten Ausmaß und in der Art und Weise und zu den Zeitpunkten zu leisten, die an dem Ort gebräuchlich sind, an dem die Arbeit geleistet wird.	Entlohnung,Lohn,Vergütung	Arbeitsentgelt,Entgelt	Arbeitsentgelt,Entgelt	Arbeitsentgelt,Entgelt
Die jährliche Vergütung für die Aufsichtsratsmitglieder muß  von der Gesellschaftsversammlung  bestimmt werden.	Entlohnung,Lohn,Vergütung	Arbeitsentgelt,Entgelt	Arbeitsentgelt,Entgelt	Arbeitsentgelt,Entgelt
Die Dokumente (von 1 - 4 : Geburtsschein, Ehebescheinigung, Wohnsitzbescheinigung, Familienbogen) sind in Original dem Antrag beizulegen und können nicht durch Eigenerklärungen ersetzt werden.	Bescheinigung über den Wohnsitz,Wohnsitzbescheinigung	Meldebestätigung	Meldebescheinigung	
Um die monatlichen Studienbeihilfen  zu erhalten, müssen die betreffenden Praktikanten an das Landesamt für Ausbildung des Gesundheitspersonals ein Gesuch auf Stempelpapier richten und dabei folgende Unterlagen beilegen:  c) Bescheinigung über den Wohnsitz, .	Bescheinigung über den Wohnsitz,Wohnsitzbescheinigung	Meldebestätigung	Meldebescheinigung	
Das Zulassungsgesuch ist auf Stempelpapier abzufassen und innerhalb des jährlich neu festgelegten Termins dem Landesrat für Gesundheitswesen zu übermitteln. Dem Gesuch müssen folgende Unterlagen beigefügt werden:  Staatsbürgerschaftsbescheinigung .	Staatsbürgerschaftsbescheinigung,Staatsbürgerschaftsnachweis		Staatsangehörigkeitsausweis	
