Tiny Aya Global,GPT OSS 20B,UvA-MT,Qingqiu-MT-9B,Dubformer,DeepSeek V4 Pro,CUNI-EdUKate,Qwen 3.6 - 27b,Gemini 3.1 Pro,Ministral 3 - 14B,GoogleTranslate,Tower 9B,Mistral Medium 3.5,Command A+,Cohere CAT+,GPT OSS 120B,Qwen 3.5 - 9b,Gemma 4 - 4B,CUNI-MH-v3,TRIVE,SalamandraTA,GPT 5.5,Gemma 4 - 31B,GLM 4 - 9B
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
[],[],[],[],['Vorbereitungshandlung'],[],[],['Vorbereitungshandlung'],['Vorbereitungshandlung'],['Vorbereitungshandlung'],[],[],[],[],[],[],[],[],[],[],['Vorbereitungshandlung'],[],[],[]
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
[],[],[],['Rehabilitation'],[],[],[],[],[],['Rehabilitation'],[],[],['Rehabilitation'],[],[],['Rehabilitation'],[],[],[],[],[],[],[],[]
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['Wiederaufnahme'],[],[],[],[],[],[],[]
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
['Geheimnis'],[],[],[],['Geheimnis'],[],[],[],[],[],[],[],[],['Geheimnis'],['Geheimnis'],[],[],['Geheimnis'],[],[],[],[],[],[]
[],[],[],[],[],[],[],['im Haushalt lebende Person'],[],['im Haushalt lebende Person'],[],[],['im selben Haushalt lebende Person'],[],['im selben Haushalt lebende Person'],['in selber Haushalt lebend Person'],[],['im Haushalt lebende Person'],[],[],['im selben Haushalt lebende Person'],[],[],[]
[],['Leiter'],[],[],[],[],[],[],[],['Leiter'],[],[],['leitend Beamter'],[],[],['Leiter'],[],[],[],[],[],[],[],['Leiter']
[],"['Gewohnheitsrecht', 'Gebrauch']",['Gewohnheitsrecht'],['Gebrauch'],['Gebrauch'],['Gewohnheitsrecht'],[],"['Gewohnheitsrecht', 'Gebrauch']",[],['Gewohnheitsrecht'],[],['Gebrauch'],['Gewohnheitsrecht'],[],['Gewohnheitsrecht'],[],['Gebrauch'],['Gebrauch'],[],['Gebrauch'],"['Gewohnheitsrecht', 'Gebrauch']",[],['Gewohnheitsrecht'],[]
[],['Verwahrung'],[],[],[],[],[],[],[],['Verwahrung'],[],[],['Verwahrung'],[],[],[],[],[],[],[],[],[],[],[]
['Dauerrezept'],[],[],[],['Dauerrezept'],[],[],[],[],[],[],['Dauerrezept'],[],[],['Dauerrezept'],[],['Dauerrezept'],[],[],[],[],[],[],[]
[],['Konkretisierung'],[],[],[],[],[],[],[],[],[],[],[],[],['Konkretisierung'],['Konkretisierung'],[],[],[],[],['Konkretisierung'],[],[],[]
[],['Zeitraum'],[],[],[],[],['Zeit'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
[],[],[],[],[],[],[],[],[],[],[],['erbgutverändernd Stoff'],[],['erbgutverändernder Stoff'],[],[],[],['erbgutverändernd Stoff'],[],[],[],[],[],[]
[],[],[],['Abfall'],[],[],[],[],[],[],[],[],['Abfall'],[],[],[],['Abfall'],[],[],[],[],[],[],[]
[],[],[],[],[],['Atemalkoholkonzentration'],[],[],[],[],[],[],[],[],[],['AAK'],['Atemalkoholkonzentration'],[],[],[],[],[],['Atemalkoholkonzentration'],[]
[],[],['Kondominium'],[],['Kondominium'],['Kondominium'],[],['Miteigentümergemeinschaft'],['Kondominium'],['Miteigentümergemeinschaft'],[],[],['Kondominium'],['Kondominium'],['Kondominium'],['Miteigentümergemeinschaft'],[],['Kondominium'],[],['Kondominium'],['Kondominium'],['Kondominium'],['Miteigentümergemeinschaft'],[]
['Vorrang'],[],[],['Vorrang'],[],[],[],[],[],[],[],['Vorrang'],[],['Vorrang'],['Vorrang'],[],['Vorrang'],['Vorrang'],[],[],['Vorrang'],[],['Vorrang'],[]
[],['Genehmigung'],[],['Genehmigung'],['Genehmigung'],['Genehmigung'],['Genehmigung'],['Genehmigung'],['Genehmigung'],['Genehmigung'],['Genehmigung'],[],['Genehmigung'],['Genehmigung'],[],['Genehmigung'],['Genehmigung'],[],['Genehmigung'],['Ermächtigung'],['Genehmigung'],['Genehmigung'],['Genehmigung'],['Genehmigung']
['Aufhebung'],['Annullierung'],['Aufhebung'],['Aufhebung'],['Aufhebung'],['Annullierung'],['Annullierung'],['Aufhebung'],['Annullierung'],['Nichtigerklärung'],[],['Aufhebung'],['Aufhebung'],['Aufhebung'],['Aufhebung'],['Aufhebung'],[],['Aufhebung'],[],['Annullierung'],['Aufhebung'],['Annullierung'],['Aufhebung'],['Aufhebung']
['Tatsachenirrtum'],['Tatsachenirrtum'],['Tatsachenirrtum'],['Tatsachenirrtum'],['Tatsachenirrtum'],['Tatsachenirrtum'],[],['Tatsachenirrtum'],[],[],['Tatsachenirrtum'],['Tatsachenirrtum'],['Tatsachenirrtum'],['Tatsachenirrtum'],['Tatsachenirrtum'],['Tatsachenirrtum'],['Tatsachenirrtum'],['Tatsachenirrtum'],[],['Tatsachenirrtum'],['Tatsachenirrtum'],[],['Tatsachenirrtum'],[]
[],[],['Publizität'],[],[],[],[],"['Publizität', 'Publizität']",[],[],[],[],"['Publizität', 'Publizität']","['Publizität', 'Publizität']",['Publizität'],[],[],[],[],[],[],[],[],[]
[],['Merkblatt'],['Merkblatt'],['Merkblatt'],[],[],[],['Merkblatt'],[],[],[],['Merkblatt'],[],['Merkblatt'],['Merkblatt'],['Merkblatt'],['Merkblatt'],['Merkblatt'],[],[],['Merkblatt'],[],[],['Merkblatt']
[],[],[],[],[],[],[],[],[],['Konservierung'],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
['Mieter'],['Mieter'],['Mieter'],['Mieter'],['Mieter'],['Bestandnehmer'],['Mieter'],['Mieter'],[],['Bestandnehmer'],['Mieter'],['Mieter'],['Bestandnehmer'],['Mieter'],['Mieter'],['Mieter'],['Mieter'],['Mieter'],['Mieter'],['Bestandnehmer'],['Mieter'],['Bestandnehmer'],['Mieter'],['Mieter']
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
['Stufe'],['Stufe'],['Stufe'],['Stufe'],[],['Stufe'],[],['Stufe'],['Stufe'],['Treppenstufe'],[],['Stufe'],['Stufe'],['Stufe'],['Treppenstufe'],[],['Stufe'],['Stufe'],['Stufe'],['Stufe'],['Stufe'],['Stufe'],['Stufe'],['Stufe']
[],[],[],[],[],[],[],[],[],['Aktualisierung'],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
[],['mutagen'],[],[],[],[],['mutagen'],[],[],[],['mutagen'],[],['Mutagen'],[],[],['mutagen'],[],[],['mutagen'],[],[],[],[],['mutagen']
[],[],[],['GVP'],[],[],[],[],[],['GVP'],[],[],['GVP'],[],['GVP'],[],['GVP'],[],[],[],[],[],['GVP'],[]
['Arbeitsbedingungen'],['Arbeitsbedingungen'],['Arbeitsbedingungen'],['Arbeitsbedingungen'],['Arbeitsbedingungen'],['Arbeitsbedingungen'],['Arbeitsbedingungen'],['Arbeitsbedingungen'],['Arbeitsbedingungen'],['Arbeitsbedingungen'],['Arbeitsbedingungen'],['Arbeitsbedingungen'],['Arbeitsbedingungen'],['Arbeitsbedingungen'],['Arbeitsbedingungen'],['Arbeitsbedingungen'],['Arbeitsbedingungen'],['Arbeitsbedingungen'],['Arbeitsbedingungen'],['Arbeitsbedingungen'],[],['Arbeitsbedingungen'],['Arbeitsbedingungen'],['Arbeitsbedingungen']
[],['Interventionsschwelle'],[],[],[],[],[],[],[],['Interventionsschwelle'],[],[],['Interventionsschwelle'],[],['Interventionsschwelle'],[],[],['Interventionsschwelle'],[],[],[],[],['Interventionsschwelle'],[]
['Risiko'],['Risiko'],['Gefahr'],['Gefahr'],['Gefahr'],['Gefahr'],['Risiko'],['Risiko'],['Gefahr'],['Gefahr'],['Gefahr'],['Gefahr'],['Gefahr'],['Gefahr'],['Gefahr'],['Gefahr'],['Gefahr'],['Risiko'],['Risiko'],['Gefahr'],['Gefahr'],['Gefahr'],['Gefahr'],['Risiko']
[],[],[],[],[],[],[],[],[],[],[],[],['Täter'],[],[],[],[],[],[],[],[],[],[],[]
[],[],['Ermittlungstätigkeit'],[],[],['Ermittlungsverfahren'],[],[],['Ermittlungsverfahren'],[],[],['Ermittlungsverfahren'],[],['Ermittlungsverfahren'],['Ermittlungstätigkeit'],['Ermittlungsverfahren'],['Ermittlungstätigkeit'],[],[],['Ermittlungsverfahren'],[],['Ermittlungstätigkeit'],['Entscheidungsvorbereitung'],[]
['Aktualisierung'],['Aktualisierung'],['Aktualisierung'],['Aktualisierung'],[],[],[],['Aktualisierung'],[],[],[],['Aktualisierung'],[],[],[],[],['Aktualisierung'],['Aktualisierung'],[],[],[],[],['Aktualisierung'],['Aktualisierung']
['Konzession'],['Bewilligung'],['Konzession'],['Konzession'],['Konzession'],['Konzession'],['Konzession'],['Konzession'],['Konzession'],['Bewilligung'],['Konzession'],['Konzession'],['Konzession'],['Konzession'],['Konzession'],['Konzession'],['Konzession'],['Konzession'],[],['Konzession'],['Konzession'],['Konzession'],['Konzession'],['Konzession']
[],"['Grunddienstbarkeit', 'Grunddienstbarkeit']",[],['Grunddienstbarkeit'],['Grunddienstbarkeit'],[],[],"['Grunddienstbarkeit', 'Grunddienstbarkeit']",['Grunddienstbarkeit'],[],[],['Grunddienstbarkeit'],[],[],"['Grunddienstbarkeit', 'Grunddienstbarkeit']",[],['Grunddienstbarkeit'],[],[],['Grunddienstbarkeit'],[],[],['Grunddienstbarkeit'],[]
[],[],['Beweggrund'],[],['Beweggrund'],['Beweggrund'],[],[],['Beweggrund'],['Beweggrund'],[],[],[],[],[],[],[],[],[],['Beweggrund'],['Beweggrund'],['Beweggrund'],[],['Beweggrund']
['Handlung'],['Tat'],['Handlung'],['Handlung'],['Handlung'],[],['Handlung'],['Handlung'],['Handlung'],['Handlung'],['Handlung'],[],['Handlung'],['Tat'],['Tat'],['Handlung'],['Tat'],['Handlung'],['Handlung'],['Handlung'],[],['Handlung'],['Handlung'],['Handlung']
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
['Vollstreckungshandlung'],[],[],['Vollstreckungshandlung'],['Vollstreckungshandlung'],[],[],[],[],[],[],[],[],[],['Vollstreckungshandlung'],[],['Ausführungshandlung'],['Ausführungshandlung'],['Vollstreckungshandlung'],[],['Vollstreckungshandlung'],[],['Vollstreckungshandlung'],[]
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
"['Vorrang', 'Vorrang']","['Vorrang', 'Vorrang']",[],"['Vorrang', 'Vorrang']",[],[],[],"['Vorrang', 'Vorrang']",[],"['Vorrang', 'Vorrang']",[],[],[],[],[],"['Vorrang', 'Vorrang']","['Vorrang', 'Vorrang']",[],[],[],"['Vorrang', 'Vorrang']",[],[],"['Vorrang', 'Vorrang']"
['Prozesshandlung'],['Verfahrenshandlung'],['Verfahrenshandlung'],['Prozesshandlung'],['Verfahrenshandlung'],['Prozesshandlung'],[],['Prozesshandlung'],[],['Verfahrenshandlung'],[],['Prozesshandlung'],['Verfahrenshandlung'],['Verfahrenshandlung'],['Prozesshandlung'],['Verfahrenshandlung'],['Prozesshandlung'],['Prozesshandlung'],[],[],['Verfahrenshandlung'],[],['Verfahrenshandlung'],[]
[],[],['Auslösewert'],['Auslösewert'],['Auslösewert'],[],[],['Auslösewert'],[],[],[],[],[],['Auslösewert'],[],['Auslösewert'],[],['Auslösewert'],[],[],['Auslösewert'],['Auslösewert'],['Auslösewert'],[]
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
['Kennung'],[],[],[],[],[],[],[],[],['Kennung'],[],[],[],[],[],[],[],['Kennung'],[],[],[],[],[],['Kennung']
[],['Stifter'],[],[],['Stifter'],[],[],[],[],[],[],['Stifter'],['Stifter'],['Stifter'],['Stifter'],[],[],['Stifter'],['Stifter'],[],['Stifter'],[],['Stifter'],[]
['Aktualisierung'],"['Aktualisierung', 'Aktualisierung']",[],[],[],[],[],[],[],"['Aktualisierung', 'Aktualisierung']",[],[],[],[],[],[],[],[],[],[],"['Aktualisierung', 'Aktualisierung']",[],[],['Aktualisierung']
['Mediator'],['Mediator'],['Mediator'],[],[],[],[],[],[],['Mediator'],['Mediator'],['Mediator'],['Mediator'],['Mediator'],['Mediator'],['Mediator'],[],['Mediator'],[],[],[],[],[],[]
['Augenschutz'],['Augenschutz'],['Augenschutz'],['Augenschutz'],['Augenschutz'],[],[],['Augenschutz'],['Augenschutz'],['Augenschutz'],[],['Augenschutz'],[],['Augenschutz'],['Augenschutz'],['Augenschutz'],['Augenschutz'],['Augenschutz'],[],[],['Augenschutz'],['Augenschutz'],"['Augenschutz', 'Augenschutz']",['Augenschutz']
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
