context	tgt_term_gold	tgt_term_hyponym	tgt_term_hypernym	tgt_term_co-hyponym
Die mit Artikel 90 des Statutes errichtete Autonome Sektion für die Provinz Bozen des Regionalen Verwaltungsgerichtes von Trentino-Südtirol (Verwaltungsgericht Bozen - VwG Bozen) hat ihren Sitz in Bozen. Der Sprengel des Verwaltungsgerichtes Bozen umfaßt die Provinz Bozen.	Regionales Verwaltungsgericht		Verwaltungsgerichtsbarkeit	
Die Gerichtsbarkeit des Rechnungshofs umfasst Verfahren der verwaltungsgerichtlichen Rechnungslegung, Verfahren betreffend die verwaltungsrechtliche Haftung für Schäden zum Nachteil der öffentlichen Hand sowie sonstige Verfahren im Bereich des öffentlichen Rechnungswesens.	Rechnungshof	Berufungssektion,regionale Rechtsprechungssektion,vereinigte Sektion		
Die Wahrnehmung der in dieser Straßenverkehrsordnung vorgesehenen straßenpolizeilichen Aufgaben obliegt a) in erster Linie der Spezialeinheit Straßenpolizei der Staatspolizei, b) der Staatspolizei, c) den Carabinieri, d) dem Finanzwachekorps, .	Carabinieri		Streitkräfte,bewaffnete Macht	
Inhaber eines Militärführerscheins oder eines  Dienstführerscheins dürfen Fahrzeuge der entsprechenden Klassen mit Zivilkennzeichen fahren, wenn diese Fahrzeuge für institutionelle Dienste der Staatsverwaltung verwendet werden.	Staatsverwaltung	Außenverwaltung,Zentralverwaltung		
Die Verwaltungsbefugnisse sind den Gemeinden zuerkannt, unbeschadet der Fälle, in denen sie den Provinzen, Großstädten mit besonderem Status, Regionen und dem Staat zugewiesen werden .	Region	Region mit Normalstatut,Region mit Sonderstatut,autonome Region	Gebietskörperschaft	
Solange die Region oder das Land nicht mit eigenem Gesetz anders verfügen, werden auf den Sachgebieten, die der Zuständigkeit der Region oder des Landes zuerkannt worden sind, die Gesetze des Staates angewandt.	Land,Provinz		Lokalkörperschaft,lokale öffentliche Körperschaft,örtliche Körperschaft	
Der Laborassistent/die Laborassistentin bereitet gemäß den Anordnungen des/der Vorgesetzten Laboruntersuchungen vor, führt diese durch und arbeitet an den damit zusammenhängenden Aufgaben mit.	Laborassistent			Labortechniker
Der Labortechniker/die Labortechnikerin führt aufgrund der Aufträge des/der Vorgesetzten Erhebungen, Analysen und Bestimmungen im chemischen, physikalischen, biologischen oder medizinischen Bereich durch.	Labortechniker			Laborassistent,qualifizierter Labortechniker
Der Statistiksachbearbeiter/die Statistiksachbearbeiterin sammelt, ordnet und verarbeitet und gibt statistische Informationen nach allgemeinen und/oder speziellen Richtlinien seines/ihres Vorgesetzten und koordiniert gegebenfalls die Arbeit der seinem/ihrem Bereich zugeteilten Mitarbeiter und Mitarbeiterinnen.	Statistikassistent,Statistiksachbearbeiter			Inspektor für Statistik,Statistiker,Statistikinspektor
Kommunikationsplaner/innen sind in Unternehmen und Agenturen als Assistenten der Kommunikations- und Werbeleitung respektive Kommunikationsberatung tätig.	Kommunikationsplaner			Tourismusassistent
