Tiny Aya Global,GPT OSS 20B,UvA-MT,Qingqiu-MT-9B,Dubformer,DeepSeek V4 Pro,CUNI-EdUKate,Qwen 3.6 - 27b,Gemini 3.1 Pro,Ministral 3 - 14B,GoogleTranslate,Tower 9B,Mistral Medium 3.5,Command A+,Cohere CAT+,GPT OSS 120B,Qwen 3.5 - 9b,Gemma 4 - 4B,CUNI-MH-v3,TRIVE,SalamandraTA,GPT 5.5,Gemma 4 - 31B,GLM 4 - 9B
[],['streitwertabhängige Zuständigkeit'],[],['streitwertabhängige Zuständigkeit'],[],[],[],[],[],[],[],[],[],[],['streitwertabhängige Zuständigkeit'],[],['streitwertabhängige Zuständigkeit'],['streitwertabhängige Zuständigkeit'],[],[],[],[],['streitwertabhängige Zuständigkeit'],[]
[],['Parteigutachter'],[],['Parteigutachter'],[],['Privatgutachter'],[],[],[],[],[],['Privatgutachter'],[],['Parteigutachter'],['Privatgutachter'],[],['Parteigutachter'],[],[],[],['Parteigutachter'],['Parteigutachter'],[],[]
[],[],[],['Parteigutachter'],['Privatgutachter'],[],[],[],[],[],[],[],[],[],[],[],['Parteigutachter'],['Parteigutachter'],[],[],[],[],['Parteigutachter'],[]
,,,,,,,,,,,,,,,,,,,,,,,
[],[],[],['possessorisch Klage'],[],[],[],['possessorisch Klage'],[],[],[],['possessorisch Klage'],[],['possessorische Klage'],['possessorisch Klage'],[],[],['possessorische Klage'],[],[],['possessorisch Klage'],[],['possessorisch Klage'],[]
[],[],[],[],[],[],[],[],[],['schiedsgerichtlich Verfahren'],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
[],[],[],[],"['Sachverständigenbeeidigung', 'Sachverständigenbeeidigung']",[],[],[],[],[],[],[],[],[],[],"['Vereidigung des Sachverständigen', 'Vereidigung des Sachverständigen']",[],"['Sachverständigenbeeidigung', 'Sachverständigenbeeidigung', 'Sachverständigenbeeidigung']",[],[],"['Sachverständigenbeeidigung', 'Sachverständigenbeeidigung', 'Sachverständigenbeeidigung']",[],[],[]
[],[],['Feststellung der Zuständigkeit'],['Feststellung der Zuständigkeit'],[],[],[],['Feststellung der Zuständigkeit'],[],['Feststellung der Zuständigkeit'],[],[],[],[],[],['Feststellung der Zuständigkeit'],['Feststellung der Zuständigkeit'],['Feststellung der Zuständigkeit'],[],[],[],['Feststellung der Zuständigkeit'],['Feststellung der Zuständigkeit'],[]
['Rechtsmittelverzicht'],['Rechtsmittelverzicht'],['Rechtsmittelverzicht'],['Rechtsmittelverzicht'],['Rechtsmittelverzicht'],['Rechtsmittelverzicht'],[],['Rechtsmittelverzicht'],[],['Rechtsmittelverzicht'],[],[],['Rechtsmittelverzicht'],['Rechtsmittelverzicht'],['Rechtsmittelverzicht'],['Rechtsmittelverzicht'],[],[],[],['Rechtsmittelverzicht'],['Rechtsmittelverzicht'],['Rechtsmittelverzicht'],['Rechtsmittelverzicht'],[]
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
[],['subjektiv Klagehäufung'],[],['subjektiv Klagehäufung'],[],[],[],[],[],[],[],[],[],[],[],[],['subjektiv Klagehäufung'],[],[],[],[],[],[],[]
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
[],[],[],['Parteibeitritt'],['Parteibeitritt'],[],[],['Parteibeitritt'],['Parteibeitritt'],[],[],[],['Parteibeitritt'],['Parteibeitritt'],['Parteibeitritt'],[],['Parteibeitritt'],['Parteibeitritt'],[],[],['Parteibeitritt'],['Parteibeitritt'],['Parteibeitritt'],[]
[],[],['Einlassung auf das Verfahren'],[],[],[],[],['Einlassung auf das Verfahren'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
[],[],[],[],['Einlassung auf das Verfahren'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
[],[],[],[],['Pfleger'],[],[],[],[],['Pfleger'],[],[],['Pfleger'],[],[],[],[],[],[],[],[],[],[],[]
['Klagegrund'],[],['Klagegrund'],['Klagegrund'],['Klagegrund'],['Klagegrund'],[],[],['Klagegrund'],[],['Klagegrund'],['Klagegrund'],['Klagegrund'],['Klagegrund'],['Klagegrund'],['Klagegrund'],['Klagegrund'],['Klagegrund'],['Klagegrund'],['Klagegrund'],[],['Klagegrund'],['Klagegrund'],['Klagegrund']
