Tiny Aya Global,GPT OSS 20B,UvA-MT,Qingqiu-MT-9B,Dubformer,DeepSeek V4 Pro,CUNI-EdUKate,Qwen 3.6 - 27b,Gemini 3.1 Pro,Ministral 3 - 14B,GoogleTranslate,Tower 9B,Mistral Medium 3.5,Command A+,Cohere CAT+,GPT OSS 120B,Qwen 3.5 - 9b,Gemma 4 - 4B,CUNI-MH-v3,TRIVE,SalamandraTA,GPT 5.5,Gemma 4 - 31B,GLM 4 - 9B
[],[],['Wertzuständigkeit'],[],['Wertzuständigkeit'],['Wertzuständigkeit'],[],['Wertzuständigkeit'],['Wertzuständigkeit'],['Wertzuständigkeit'],['Wertzuständigkeit'],['Wertzuständigkeit'],['Wertzuständigkeit'],['Wertzuständigkeit'],[],['Wertzuständigkeit'],[],[],[],['Wertzuständigkeit'],['Wertzuständigkeit'],['Wertzuständigkeit'],[],[]
[],[],['Parteisachverständiger'],[],['Parteisachverständiger'],[],[],['Parteisachverständiger'],['Parteisachverständiger'],['Parteisachverständiger'],[],[],['Parteisachverständiger'],[],[],['Parteisachverständiger'],[],['Parteisachverständiger'],[],['Parteisachverständiger'],[],[],['Parteisachverständiger'],[]
[],['Parteisachverständiger'],['Parteisachverständiger'],[],[],['Parteisachverständiger'],[],['Parteisachverständiger'],['Parteisachverständiger'],['Parteisachverständiger'],[],['Parteisachverständiger'],['Parteisachverständiger'],[],['Parteisachverständiger'],['Parteisachverständiger'],[],[],[],['Parteisachverständiger'],['Parteisachverständiger'],['Parteisachverständiger'],[],['Parteisachverständiger']
[],['Einlassung der Parteien'],['Einlassung der Parteien'],['Einlassung der Parteien'],[],['Einlassung der Parteien'],[],['Einlassung der Parteien'],['Einlassung der Parteien'],[],[],['Einlassung der Parteien'],[],['Einlassung der Parteien'],['Einlassung der Parteien'],['Einlassung der Parteien'],['Einlassung der Parteien'],['Einlassung der Parteien'],[],['Einlassung der Parteien'],['Einlassung der Parteien'],['Einlassung der Parteien'],['Einlassung der Parteien'],[]
[],['Besitzschutzklage'],['Besitzschutzklage'],[],['Besitzschutzklage'],['Besitzschutzklage'],[],[],['Besitzschutzklage'],['Besitzschutzklage'],[],[],['Besitzschutzklage'],[],[],['Besitzschutzklage'],[],[],[],['Besitzschutzklage'],[],['Besitzschutzklage'],[],[]
['Schiedsverfahren'],['Schiedsverfahren'],['Schiedsverfahren'],['Schiedsverfahren'],['Schiedsverfahren'],['Schiedsverfahren'],[],['Schiedsverfahren'],['Schiedsverfahren'],[],['Schiedsverfahren'],['Schiedsverfahren'],['Schiedsverfahren'],['Schiedsverfahren'],['Schiedsverfahren'],['Schiedsverfahren'],['Schiedsverfahren'],['Schiedsverfahren'],[],['Schiedsverfahren'],['Schiedsverfahren'],['Schiedsverfahren'],['Schiedsverfahren'],['Schiedsverfahren']
[],['Sachverständigeneid'],"['Sachverständigeneid', 'Sachverständigeneid']",['Sachverständigeneid'],[],['Sachverständigeneid'],[],['Sachverständigeneid'],['Sachverständigeneid'],['Sachverständigeneid'],"['Sachverständigeneid', 'Sachverständigeneid']",['Sachverständigeneid'],['Sachverständigeneid'],['Sachverständigeneid'],['Sachverständigeneid'],[],['Sachverständigeneid'],[],[],['Sachverständigeneid'],[],['Sachverständigeneid'],['Sachverständigeneid'],"['Sachverständigeneid', 'Sachverständigeneid']"
['Zuständigkeitsfeststellung'],['Zuständigkeitsfeststellung'],[],[],['Zuständigkeitsfeststellung'],['Zuständigkeitsfeststellung'],[],[],['Zuständigkeitsfeststellung'],[],[],['Zuständigkeitsfeststellung'],['Festlegung der Zuständigkeit'],['Zuständigkeitsfeststellung'],['Zuständigkeitsfeststellung'],[],[],[],[],['Zuständigkeitsfeststellung'],['Zuständigkeitsfeststellung'],[],[],[]
[],[],[],[],[],[],[],[],['Anerkennung'],[],[],[],[],[],[],[],[],['Anerkennung'],[],[],[],[],[],[]
[],[],[],[],[],[],[],['Rechtsanwalt'],['Rechtsanwalt'],[],[],[],[],['Rechtsanwalt'],[],[],[],[],['Rechtsanwalt'],[],[],[],['Rechtsanwalt'],[]
